Video ID,Title,Channel,Upload date,Stock,Summary,Company,Symbol
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,392,"tesla lower, after announcing more price cuts for the models in the us, and eqt the worst performer today. nat gas prices dropped 14% here to trade all three is ari- i'm sorry. managing director and head of technical analysis. the more you get to know someone, the moreYou make the mistake.",EQT,EQT
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,11,"tesla lower, after announcing more price cuts for the models in the us, and eqt the worst performer today. nat gas prices dropped 14% here to trade all three is ari. we like large cap growth as a theme. it's not going to be the same one-way bet that it was for much of the last decade.",Tesla,TSLA
a1VjMCEJt8g,"Three-Stock Lunch: AMAT, TSLA and EQT",CNBC Television,2023-03-06 20:35:34+00:00,47,"High beta cyclicals are expected to lead the market higher over the coming months. One of our favorite industries to gain exposure to cyclicality is semiconductors, given the broadness of the strength in the industry. i think applied materials is the tactical setup here getting above its breakout point from last august's peak.",Applied Materials,AMAT
Pv7pxxY63Z0,Salesforce vs. Snowflake: Best bet for your money,CNBC Television,2023-03-02 14:06:12+00:00,26,"enterprise software after hours, with salesforce spiking on a beat in the promises of margin improvement and snowflake sinking on light guidance. which is the better long-term bet? jon fortt is here to weigh in again on two stocks which he has done: roblox, ea, doordash, uber.",Salesforce,CRM
ezu6xuYnugc,Oracle shares tumble after cloud business fails to meet growth expectations,CNBC Television,2023-03-10 12:45:28+00:00,20," oracle chairman larry ellison weighs in on ai and chatgpt, comparing it to oracle's own ai tech. i think you have to keep an eye on both issues. the promise is something we don't want to lose sight of. i have not been to gap in years. i bought socks there.",Oracle,ORCL
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,16,"johnson & johnson trading at new lows- not seen since 2020, already down 14% year to date. Johnson & Johnson shares down 2.5% to close at $26.50. Company's stock is down more than 14% this year, down from $28.50 in January.",Johnson & Johnson,JNJ
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,92,cvs health trading at levels not seen since august 2021- down 12%. CVS health shares down 12% in pre-market trading. Cvs health shares up 1%. Cvs shares down 1% in aftermarket trading on Tuesday. CVS shares down 0.7%.,CVS Health,CVS
CiZCR6GPEs4,"Three-Stock Lunch: JNJ, CVS & D",CNBC Television,2023-03-02 20:37:12+00:00,216,"CVS is a good quality stock, reasonably valued. dominion energy is a sell. i can't touch this stock. there's too many uncertainties. you can't buy a stock. that is telling you actively. we are re-evaluating our business. how do you know what the revenues are is? what do you think are the reasonable multiple? how much is going to get capped by the virginia legislature?",Dominion Energy,D
Hnk1pdHBs9s,"Snowflake has more opportunities than Salesforce, says Jefferies' Brent Thill",CNBC Television,2023-03-01 21:58:24+00:00,26,"i think salesforce is getting their act together on the cost side. i'm really intrigued by their cloud app strategy and their snow park strategy. i would say, if you look at salesforcecom eight, ten years ago, that's where snowflake is at today. this is a management team that understands how to build a great franchise.",Salesforce,CRM
mrJIb-gswu4,Lightning Round: Cardinal Health is a very good stock to own here,CNBC Television,2023-03-02 01:09:40+00:00,283,"caller cardinal health buy -- >>. i like cardinal it's best on this little dip. let's go to mark in wisconsin, mark. caller scott had an outstanding interview with david today. caller, during the course of the interview they flashed some screens with stocks on it and one caught my eye in the it services ticker.",Cardinal Health,CAH
cHc-thRzyaA,"Lowe's has better internal levers to pull in tough times than Home Depot, says Oppenheimer's Nagel",CNBC Television,2023-03-01 12:35:17+00:00,19,"i'm looking at this report and relative to what we heard from home depot and the chatter out there. this report from lowe's is rather benign, which is interesting to me because remember last week, home depot further unneshed investors with a somewhat weaker q4 report and dampened expectations in 2023. if you look at the results, they're inconsistent with what home depot said last week. maybe they maybe they.",Home Depot,HD
cHc-thRzyaA,"Lowe's has better internal levers to pull in tough times than Home Depot, says Oppenheimer's Nagel",CNBC Television,2023-03-01 12:35:17+00:00,57,"this report from lowe's is rather benign, which is interesting to me because remember last week, home depot further unneshed investors with a somewhat weaker q4 report and dampened expectations in 2023. when i look at these valuations, even given all the concerns, the valuation oflowe's makes no sense to me. i think the stock here is quite cheap.",Lowe,LOW
XBlFcr1HnH8,"Uber could be a value stock if it stopped spending on growth, says Lyrical's Andrew Wellington",CNBC Television,2023-03-03 18:21:05+00:00,50,"i want to hear your thoughts on some of the stocks you've bought this week. i want to know why you bought primerica, concentric, uber and cnxc. i also want you to weigh in on a discussion that we've had this week really ever since i gue.",Uber,UBER
O9Yf_E7G4HQ,"Oil prices are in a good place right now, says Occidental Petroleum CEO",CNBC Television,2023-03-06 14:16:14+00:00,150," occidental petroleum vi, vicki hollub, our first guest of the conference. i think prices are in a good place, right now. if you're in the 75 to $80 range for oil prices, that's a sustainable price scenario. i do believe we're in a scenario where prices will be higher because of the lack of supply. We don't actually care about oil, we care about the finished product. we're still limited in terms of our capacity, to 18 to 19 million barrels a day. we can balance the kind of oil that the refineries here in the united states need with -- by importing some of the heavier oil and exporting some of our lighter oil.",Occidental,OXY
53i5Dt9egfY,"Three-Stock Lunch: ZS, COST and META",CNBC Television,2023-03-03 20:25:15+00:00,23," costco net sales up 6.5% year over year, but missed revenue expectations. renewal rates for members hit an all-time high- nearly 93% in the us and canada. More of those numbers opting for costco's top tier membership plan, with a higher fee and morerevenue.",Costco,COST
53i5Dt9egfY,"Three-Stock Lunch: ZS, COST and META",CNBC Television,2023-03-03 20:25:15+00:00,5,"meta finally shares up 6%. why? now julia, what's going on? >> kelly, meta did slash prices on vr headsets, cutting $500 from the cost of its meta pro to $1,000. morgan stanley calling ai a $ trillion opportunity, saying meta has a path for 6%, plus ad revenue.",Meta,META
wJVCW92S7z4,Cramer’s Mad Dash: What Oracle's latest quarter suggests,CNBC Television,2023-03-10 15:17:13+00:00,20," oracle is a company that bought cerna, which was an okay medical records business. The cloud stuff is very positive. they bought back a lot of stock. it's very cheap. they're working with jensen- oracle was mentioned- with n Nvidia. If the stock is down, four logical place to go is oracle.",Oracle,ORCL
Q87Wpaw034E,Seagen has one of the greatest technologies to battle cancer: Pfizer CEO on acquisition,CNBC Television,2023-03-13 16:25:14+00:00,53,"albert bourla, the ceo of pfizer, joins us now. $43 billion- a huge price tag. tell us why seagen is worth it for p fizer. cancer is one of the biggest therapeutic areas right. now. 1 in 3 people in the world are going to have cancer in their lifetime.",Pfizer,PFE
RaSrJQVd6t0,"Three-Stock Dinner: META, AMZN & CRWD",CNBC Television,2023-03-08 00:32:20+00:00,5," meta shares well off the highs of the day after earlier climbing on reports. more layoffs are on the way, with a fresh round of legislation against tiktok perhaps that could help drive meta's reels business. this is a rare stock that doubled off the lows but still at half of the peak historic value of about a year and a half ago.",Meta,META
RaSrJQVd6t0,"Three-Stock Dinner: META, AMZN & CRWD",CNBC Television,2023-03-08 00:32:20+00:00,4,"Goldman Sachs highlights amazon as a top e commerce pick for 2023. The software stock, jumping after, reporting, beat on the top and bottom lines and giving strong guidance for the year. The company is still unprofitable on a cloud basis f. You have to look how much you're willing to pay for growth.",Amazon,AMZN
IXssO31vZ7w,"Three-Stock Dinner: COST, AI & META",CNBC Television,2023-03-04 00:29:30+00:00,23,"Shelby: Costco is a great example to deliver on proposition and has the advantage of excellent management. c 3 ai has shown that you can still differentiate yourself in a group that's got a little doubtful cloud hanging over it, he says. shelby: i think c 3Ai is a company that demonstrates the value in a fundamental bottom approach to look for high quality companies.",Costco,COST
IXssO31vZ7w,"Three-Stock Dinner: COST, AI & META",CNBC Television,2023-03-04 00:29:30+00:00,5,"i think that meta is beginning to deliver on that show me proposition that a lot of investors put in front of them a few quarters ago. we're seeing that, among their achievements, they have successfully gone ahead and scaled the reels. they can now focus on monetizing efficiency in the product line, pulling the profitability levers.",Meta,META
yxwgQF0wMn4,Two top Tesla watchers debate the bull vs. bear cases for the stock,CNBC Television,2023-03-02 12:55:31+00:00,11,"Pierre: What we saw was really what tesla is capable of doing and what the car manufacturers are going to struggle with. jo gordon johnson: What happened yesterday will not change your minds. i want to give each of you a final word. perhaps, pierre, we will start with you.  dom: Is it all about the promise and future, which are vagaries by nature, because it is a business and not a hard forecast? gordon: i don't think it is extreme. i'm valuing them. dom: let's see what happens in china in the next few months with tesla and how it stacks up against gordon's perspective.",Tesla,TSLA
2QaJH0X4gRY,"Three-Stock Dinner: TSLA, CRM & SI",CNBC Television,2023-03-03 00:34:17+00:00,11,"Tesla has increased their margins by 450% in the last five years. At the same time, they have increased their revenues by 50% for each of these years. This is unprecedented for a publicly listed company of that size. But once that margin between them and the average car manufacturing company, it shrinks.",Tesla,TSLA
2QaJH0X4gRY,"Three-Stock Dinner: TSLA, CRM & SI",CNBC Television,2023-03-03 00:34:17+00:00,26,"salesforce is notching its best day since 2020, after a big earnings beat and better than expected guidance. i like the company. we had activist investors come in. that's good news for us, because the ceo compensation was elevated, so there will be additional oversight here. i think they're positioned for strong performance, going forward. silvergate capital plummeting almost 60% today after delaying its annual report.",Salesforce,CRM
HTGDohcJ48A,"We are still pretty bullish on Tesla stock, says Future Fund's Gary Black",CNBC Television,2023-03-06 17:38:17+00:00,11,"tesla shareholder partner gary black joins you great to have you back. We haven't had a chance to discuss investor day and sort of that cloud of so-called disappointment that the market at least seemed to reflect. i would say it was long on aspiration, short on damageability and a lot of people playing the stock that were waiting for a big unveil of something.",Tesla,TSLA
B0NmzL02e3A,"Three-Stock Lunch: CRM, BBY and FSLR",CNBC Television,2023-03-01 20:34:14+00:00,26,"earnings salesforce reports. are you a buyer of salesforce? >>? i am not kelly at all. the stock is still too rich. it's still trading rich, 28 times former, drawing the eps 18%. i want to see what they say about margins, cloud, growth, all those things.",Salesforce,CRM
B0NmzL02e3A,"Three-Stock Lunch: CRM, BBY and FSLR",CNBC Television,2023-03-01 20:34:14+00:00,376,"after the bell, the stock still down 50% from the all-time highs best buy is on deck for tomorrow morning. this is a tricky one, because by all metrics you would say it's attractive but i'm calling it a value trap. the problem is that they're expected to earn about $6 a share this coming year, but $3.52 of that is going to dividends.",Best Buy,BBY
B0NmzL02e3A,"Three-Stock Lunch: CRM, BBY and FSLR",CNBC Television,2023-03-01 20:34:14+00:00,364," first solar reported a smaller than expected loss, strong guidance, the shares surging 13%. i think this name is a winner, is a new leader over time, as is many of the solar names out there are very attractive to us. i would not chase it here, but look for a pullback.",First Solar,FSLR
XQCGTci8rzg,"Goldman bites into Apple, forecasting a big jump in the stock",CNBC Television,2023-03-06 23:29:43+00:00,1,"money analysts initiating the tech stock apple with a buy rating, calling for a 30% gain over the next 12 months. They're just dusting off- as you said not to be cruel to goldman, Dusting off everything that the entire street already has said and known. i would push back on saying it's cheap relative to itself. it's not cheap.",Apple,AAPL
E7z9b9vlrXA,"Baker Hughes CEO on recession threat, global energy markets and higher interest rates",CNBC Television,2023-03-07 00:04:45+00:00,249,"energy demand is continuing to increase and there's a desire, especially in the developing world, to have more access to energy. right now we're constrained because of the underinvestment and the supply of energy. i think, from a sector standpoint, we're probably a little bit more subdued, relative to a recession given the demand that's out there.",Baker Hughes,BKR
RaSrJQVd6t0,"Three-Stock Dinner: META, AMZN & CRWD",CNBC Television,2023-03-08 00:32:20+00:00,5," meta shares well off the highs of the day after earlier climbing on reports. more layoffs are on the way, with a fresh round of legislation against tiktok perhaps that could help drive meta's reels business. this is a rare stock that doubled off the lows but still at half of the peak historic value of about a year and a half ago.",Meta,META
RaSrJQVd6t0,"Three-Stock Dinner: META, AMZN & CRWD",CNBC Television,2023-03-08 00:32:20+00:00,4,"Goldman Sachs highlights amazon as a top e commerce pick for 2023. The software stock, jumping after, reporting, beat on the top and bottom lines and giving strong guidance for the year. The company is still unprofitable on a cloud basis f. You have to look how much you're willing to pay for growth.",Amazon,AMZN
a4MclwHqgD8,"Three-Stock Lunch: Apple, CrowdStrike, and Campbell Soup",CNBC Television,2023-03-08 20:27:31+00:00,1,"on another kind of down session, we've got apple with a slight gain as the streak gets -- continues to get more bullish. wedbush reiterating an outperform, raising their price target crowdstrike, holding on to a 2% gain today after a stronger than expected q4 report. campbell's soup also gaining about 2% after an earnings beat and raising their annual profit forecast.",Apple,AAPL
z5TOqG6T6pk,"Salesforce beats on revenue, shares rise on strong guidance",CNBC Television,2023-03-01 21:51:40+00:00,26,"jim cramer's exclusive interview with salesforce ceo marc benioff. margins will be in focus when it comes to salesforce right, not just in this quarter but what investors can count on from here. mike santoli: i think the pressure that has been put on them and other companies who may have been spending more th.",Salesforce,CRM
2uhScQU2Pn8,Shares of Tesla drop after Investor Day fails to deliver,CNBC Television,2023-03-02 23:30:28+00:00,11," tesla is already number one worldwide in terms of ev sales, not just here in the united states but worldwide. They have 17% of the market share ahead of byd, which is primarily just sold in china and asia and just starting in europe. elon musk says he sees plenty of demand in the future. Philip Lebeau: elon musk believes the next vehicle will be a cybertruck. He says investors were hoping for a cheaper car, but they only got a tease. lebeau says tesla's stock is likely to fall to 165, which is the level to get long. i think the lack of kind of clarity about what the road map is for some of the products, the here and now, and when you think about tagging an extra $125 billion in expenses over whatever that time period to build out. let's be clear right now, the largest carmaker on the planet sells less than half of that a year. okay, so that is a really ambitious thing with nothing tied to it.",Tesla,TSLA
TVoHNh7qOSs,Tesla shares dip more than 5% after hours as Investor Day falls short on specifics,CNBC Television,2023-03-02 12:12:14+00:00,11,"Tesla CEO says there will be a lower cost next generation model. Company has not given specifics, a name or price point or type. They confirmed that the next tesla gigafactory will be in mexico, near monterey. annual deliveries, long term they believe to 20 million vehicles annually.",Tesla,TSLA
YtZWJIja8Mo,Hightower's Stephanie Link makes the bull case for Broadcom,CNBC Television,2023-03-02 21:43:04+00:00,8,"i pivot to stephanie link broadcom, the stock you own, as we look towards stocks in overtime. i feel pretty good about the guidance for broadcom. i think the quarter might be very sloppy and a lot of that is because enterprise is still under pressure. i like this company. it may be down at the fringe but i think it would be an opportunity because i like the setup for 2023.",Broadcom,AVGO
W48fnB3ANkc,Apple pushing back on A.I. with BlueMail app update block #Shorts,CNBC Television,2023-03-07 17:01:00+00:00,1," blue mail is rolling out an ai powered update which uses chat gpt to automate the process of writing emails based on a scan of the user's previous emails and calendar. apple's app review team said the app does not appear to include content filtering, which is why it is pushing for those higher age restrictions. blue mail, for its part, says apple is throttling innovation.",Apple,AAPL
Eyg60LtaoWw,Tesla shares down 7% after Investor Day despite positive analyst sentiment,CNBC Television,2023-03-02 19:00:53+00:00,11,"The next tesla eggger factory will be in mexico, near monterey. i do want to emphasize: we will continue to expand production at all of our existing factories, so including california, nevada, here in texas, obviously, and berlin, shanghai.",Tesla,TSLA
im5VSeMi5Ow,United Airlines stock rises on BNP Paribas upgrade,Yahoo Finance,2023-03-07 20:15:33+00:00,400,"United Airlines stock up four percent today after bnp parabar upgraded the stock to outperform from underperformed with a 70 price target. the stock is up nearly 40 year to date. other firms have also recently weighed in on the stock over the past few months. by the turnaround as yesterday, the stock was severely under pressure.",United Airlines,UAL
YTuJwag-3uc,Norwegian Cruise Line stock drops despite lack of consumer ‘weakness’ in earnings,Yahoo Finance,2023-02-28 23:08:57+00:00,474," norwegian cruise line shares slides after disappointing first quarter results. But executives still beating a positive drum about record bookings over the last several months. Travel experiences are one of the areas- the main areas- that isn't feeling the effects of that, at least for now.",Norwegian Cruise Line,NCLH
Swu7CAA9tD0,"Costco stock declines on mixed Q2 earnings, discretionary spending slows",Yahoo Finance,2023-03-03 16:05:00+00:00,23," costco beat on earnings but missed on revenue. shoppers hone in on food and essential purchases and move away from things like apparel and jewelry. consumers also flocked to its in-house brand, kirkland. no mention of membership fee increases on the earnings call, but the ceo said it's coming.",Costco,COST
Rjy2T-k3UII,PNC stock headed for lowest close in 2 years amid SVB contagion fears,Yahoo Finance,2023-03-13 20:42:07+00:00,143,"pnc regional banks are a trending story today, a number of them getting hit hard, with pnc headed for its lowest close in over two years. Investors dumping regional banks as the fallout spreads from the failure of silicon valley bank and signature banks. oxford economics out with a new note this morning saying that these bank failures should not have significant broader implications for the economy.",PNC,PNC
rb3aONneiTc,"GE stock rises on long-term expansion plans, reiterated 2023 outlook",Yahoo Finance,2023-03-09 19:35:20+00:00,39,The company holding an investor day today and coming out with some long-term targets as a result of that. It is predicting revenue growth in the mid to high single digit rate and it says it's going to generate free cash flow in line with net income. So that's some of the commentary that's coming on here.,General Electric,GE
kCPit7jEhuo,Altria Group stock ticks down following NJOY acquisition talks,Yahoo Finance,2023-02-27 22:07:13+00:00,116," altria's lock up with jewel labs, where they paid 12.8 billion dollars for a 35 stake in 2018.. ftc has taken the position that that acquisition violated antitrust law. i don't think they're going to get kind of incredible traction that they got from jewel back in the day, because guess what? these things are bad from you.",Altria,MO
pRrGON569jE,Apple stock rises on 'Buy' rating from Goldman Sachs,Yahoo Finance,2023-03-06 16:05:03+00:00,1,"goldman sachs out with a buy rating on apple along with a price target of 199 dollars and flying upside of over 30 percent from the stocks. gross profit from services should rise to 40 percent by fiscal 2027.. yes, and it's all about their ecosystem. here i have a to your chart of apple. basically, apple is in a downtrend. apple, i think the apple watch combined with ai and apple focusing on health is going to be a huge winner. it's not obvious now, but the leaders in ai are being decided right now. the tech as it is being unveiled to us in a very careful manner, i would say.",Apple,AAPL
0QlwFs0ZXEI,"Occidental Petroleum stock drops on Q4 earnings, revenue misses",Yahoo Finance,2023-02-27 22:53:38+00:00,150,"Jared: occidental petroleum out with earnings right now or an s4a? has the numbers in us? yeah, jared, it's a miss on the top and the bottom line, with revenue- net revenue- coming in at 8.22 billion dollars. adjusted earnings per share came in at a dollar 61 cents- the street was expecting a dollar eighty cents.",Occidental,OXY
ne5NxvBeAow,"Ford stock rallies amid F-150 Lightning EV production restart, adapts autonomous driving program",Yahoo Finance,2023-03-03 22:21:12+00:00,169,"The automakers restarting production of its f150, f-150 lightning electric vehicle, the lightning coming alongside increased output of several other of its electric vehicles. The mustang maki ev doubling its run rate to 210 000 for the year, for 2023. The maverick and bronco sport going up 80 000 units this year.",Ford,F
WtNBJs9-00I,"Kroger stock rises on earnings beat, upbeat 2023 earnings outlook",Yahoo Finance,2023-03-02 17:10:52+00:00,217,"kroger top analysts: they're in exact submits as identical sales without fuel increased to 6.2 percent in the fourth quarter. the supermarket chain also reporting a better than expected adjusted earnings outlook. however, guidance for identical store sales falling short of expectations. The business of food solid right now.",Kroger,KR
ARMhP7qOcPo,"Stocks moving in after hours: First Republic, Charles Schwab, Zions Bancorporation, United Airlines",Yahoo Finance,2023-03-13 22:00:08+00:00,64,"First republic bank, charles schwab, zions bank, bank corp. have really been on the move the last several days following the collapse of silicon valley bank last friday, and then also what we saw at signature bank over the weekend. of course these are all among our top trending tickers here at yahoo finance. that has been the case for at least the last 24 hours.",Charles Schwab,SCHW
ARMhP7qOcPo,"Stocks moving in after hours: First Republic, Charles Schwab, Zions Bancorporation, United Airlines",Yahoo Finance,2023-03-13 22:00:08+00:00,400,United Airlines revises its q1 adjusted eps loss of 60 cents to a dollar. Some of the expenses related to a new collective bargaining agreement with airline pilots association. originally they were expecting that charge in the second quarter. they moved that up to the first quarter.,United Airlines,UAL
RBtOsDHqwyk,Occidental Petroleum stock rises ahead of earnings,Yahoo Finance,2023-02-27 17:09:06+00:00,150,"The Nasdaq holds on to a gain of about three quarters of one percent. All 11 s p 500 sectors still in positive territory just about 90 minutes into the start of today's trading activity, and you're in double duty. brad smith is going to be sitting right here for the next hour.",Occidental,OXY
D8ZJ91vidQk,Tesla stock rises ahead of company's Investor Day,Yahoo Finance,2023-02-27 15:04:01+00:00,11,"Tesla investors are on the edge of their seats as they await tesla's investor event. pros avery, what's up, man? So you know, yeah, three things to watch with maine. things, i think, are kind of long-term expansion plans. we're talking about how musk wants to build 30 um 20 million cars by 2030. i think tesla- the company is- has a pretty deep bench. they're able to perform with that musk at 100 focus right. i think there's a lot of folks that must like not being there. i'm not saying it's going to happen, but it's a potential wrinkle that might be asked about. they might give some indication as to what he's thinking about that.",Tesla,TSLA
vCAEQbLsw5c,Apple stock: Morgan Stanley analysts predict iPhone maker could rally by 20%,Yahoo Finance,2023-03-03 21:54:02+00:00,1," morgan stanley confirms apple as a top pick, making the case that investors should look past some of those near-term challenges and say that the stock could rally another 20. Here are the five re-accelerating iphone and services growth: record growth margins, two new product launches, the potential for an iph1 subscriptions program.",Apple,AAPL
cI5dwIPuToc,"Apple, Google, and Meta: Analyst weighs in on top stock picks for Big Tech",Yahoo Finance,2023-03-08 18:20:39+00:00,5,"we would be less positive on meta. we haven't underperformed because it's under. you know, revenue declines and that means it's margins and its free cash flow are shrinking every single quarter year over year. recently you were in dc getting really the pulse of what's happening with regulation, with tech, especially the fang stocks. you said: google doing the best job, meta doing the worst job. walk us through what they're doing differently to sort of get this Until there's laws on the books, the courts are upholding the old laws. So all the regulatory agencies are going to lose in court when they try to, you know, argue things on these new metrics of anti-trust because they aren't laws. so the legislature- me in congress- has to actually make a law before the policy it can be implemented in the court since, appalled.",Meta,META
cI5dwIPuToc,"Apple, Google, and Meta: Analyst weighs in on top stock picks for Big Tech",Yahoo Finance,2023-03-08 18:20:39+00:00,1,"sure, i really like apple here because it's got 90 billion dollars a year of free cash flow. as other companies get more distressed under the rising interest rate environment and their cost of capital is going up, that makes it a better acquisition market for apple. so that would be my topic in this environment, and what sort of criteria are you using when deciding? obviously, not ultec is created equal.",Apple,AAPL
qqhWPa9dJEo,Broadcom stock rises on Q1 earnings beat,Yahoo Finance,2023-03-03 15:53:45+00:00,8,"Some really interesting commentary sort of, across broadcom right with hawk 10, the ceo saying there could be a soft landing, um, as companies keep up that spending on networking infrastructure. i think, at the end of the day, yeah, all of these companies could easily drop an ai mentioned during any type of conference call over the course of this earnings season.",Broadcom,AVGO
KNxEsl9dYZM,Bullish analyst notes on Apple push stock higher,Yahoo Finance,2023-03-09 18:43:19+00:00,1,"Apple shares are up more than five percent this week. Yahoo finance tech editor dan howley joins us now to explain why these analysts are so optimistic about the tech giant. Apple is shaking up its international operation and putting a bigger focus on india. The company is moving the manufacturing to india just because they want to avoid the issues that they ran into during covid with china. china is where the vast majority of their devices are built, and if there's any kind of, you know, back and forth or retaliation, apple's a huge company. It could be some time before they managed to get even a 50: 50 split between china and other countries. We're going to continue to see that moving forward as the ai space continues to really heat up.",Apple,AAPL
UhftcwXk9cc,"Salesforce stock jumps amid earnings beat, share buyback program, board nominations",Yahoo Finance,2023-03-01 23:12:08+00:00,26,"salesforce seeing sales here for 2024: 34 and a half billion to 34.7 billion. 2024 adjusted eps guidance was also stronger than expected. salesforce also announcing a share buyback program increased to 20 billion. here no settlement yet, but the board slate from elliott management has been proposed.",Salesforce,CRM
xO4Vj-VZQoo,Oracle stock slides on Q3 earnings miss,Yahoo Finance,2023-03-10 18:14:43+00:00,20," oracle this morning under pressure after it fell short on analyst revenue estimates for the third quarter. net income slid 18 and just taking a look at some of the reaction from the street when it comes to oracle. jp morgan says that, while macro headwinds may materialize, demand appear somewhat stable at present.",Oracle,ORCL
A-8iE6AEYpE,Salesforce stock rises on Q4 earnings beat,Yahoo Finance,2023-03-02 15:13:49+00:00,26,"salesforce surprised wall street with its fourth quarter earnings, posting a beat and serving up strong full-year profit guidance. These earnings were closely watched as the company is dealing with activist pressure, executive departures and layoffs. In an interview with yahoo finance's brian sassy, ceo mark benioff struck an extremely positive tone, saying the company hit the hyperspace button.",Salesforce,CRM
tAGXUFXzFXs,"HP stock declines on mixed earnings, industry-wide headwinds",Yahoo Finance,2023-03-01 16:54:18+00:00,272,"hp logs in another mixed quarter as the pc and printing giant saw sales drop 18.8 percent year over year amid industry-wide headwinds. hp ceo enrique laura says efforts to cut costs are starting to show up in profit margins. i didn't get the sense, guys, from talking to enrique that the pc corrections really started in earnest earlier last year is coming to an end.  hp inc has had a workforce reduction. i asked enrique, when you reduce your force in size to extend, they have thousands of employees. what does that do to the culture inside the company? our goal is to achieve 40 of our three-year goal- three- year goal- by the end of the year, and we will.",HP,HPQ
6JQblw-0Wr8,Best Buy stock declines despite Q4 earnings beat,Yahoo Finance,2023-03-02 16:05:43+00:00,376,"best buy earnings beat estimates and its latest quarterly report, but the retailer offered a lower than expected outlook for the year. The retailer expects continued pressure on macro and industry backdrop. The consumer electronics industry continues to feel the effects of the broader macro environment and its impact on consumers, said the cfo of the company.",Best Buy,BBY
hW03gprX7rs,Costco stock dips on mixed Q2 earnings citing rising same-store sales,Yahoo Finance,2023-03-03 00:08:39+00:00,23," costco shares off about two percent after mixed earnings result. revenue came in at 55.27 billion versus estimates of 55.58 billion. International sales up a whopping 9.5 percent. membership fees, i'm not seeing any headlines right now about them raising those fees. potentially, this could be addressed on the earnings call.",Costco,COST
RgtATI0HvCM,Union Pacific stock pops on CEO Lance Fritz’s plans to step down,Yahoo Finance,2023-02-27 16:02:35+00:00,56,union pacific ceo lands fritz plans to step down later this year following pressure from a key shareholder. those shares today are up by 11. suraban capital partners is the company that owns a stake in this company that's about worth about 1.6 billion dollars. i'm saying that this could potentially be a further catalyst for the stock to move higher.,Union Pacific,UNP
GPML064VoPk,Molson Coors stock trends higher following misplaced takeover speculation,Yahoo Finance,2023-03-08 22:10:16+00:00,417,"A molson coors spokesperson tells us via email, quote: we routinely review our risk factors for updating in our sec filings. who are shares giving back, as we said, some of their gains? they were up five percent at one point but, shawna, that's still a pretty significant gain at nearly three percent.",Molson Coors,TAP
VHBlGZxdfDc,"Tesla stock rebounds after slight dip following investor day, ‘Master Plan 3’ outlook",Yahoo Finance,2023-03-03 22:46:06+00:00,11,"tesla held its investor day earlier this week, with ceo elon musk talking for about nine hours promising new factories. The lack of news sent the stock lower, though it did recover a bit after the company posted a 32 percent year-over-year jump in china sales for the month of February.",Tesla,TSLA
sklIzkms8hM,Apple stock boosted amid Goldman Sachs’ first Buy rating for iPhone maker in 6 years,Yahoo Finance,2023-03-07 02:36:37+00:00,1,"shares of apple meanwhile popping on this day after goldman sachs started a coverage with the buy rating and a 199 dollar price target, implying some 30 percent upside on the stock analyst michael ing. The note on the heels of morgan stanley on friday listing five quote under appreciated reasons, apple could move higher over the next 12 months. this would be the reason for me to head to the apple store and upgrade, but that has nothing to do with what's included in the latest device. oh my gosh, you guys are doing that. here we go close your watch. it's a 10. you know it goes. my watch is better on your wrist. this is getting very personal here with me and my weird about apple.",Apple,AAPL
